"","NodeID","Gam","Sting","Troph","Liq","Small","Medium","Large","sp1","sp2"
"789",788,0.987,0.9976,0.016,0.0402,0.8036,0.161,0.0354,"Platythyrea.modesta","Platythyrea.parallela"
"790",789,1,1,0,0,1,0,0,"Platythyrea.modesta",NA
"791",790,1,1,0,0,1,0,0,"Platythyrea.parallela",NA
"792",791,1,1,0.033,0,0,1,0,"Platythyrea.lamellosa",NA
"793",792,1,1,0,0,1,0,0,"Platythyrea.quadridenta",NA
"794",793,1,1,0,0,1,0,0,"Platythyrea.punctata",NA
"795",794,0.985,0.9964,0.027,0.054,0.7862,0.166,0.0478,"Platythyrea.schultzei","Platythyrea.tricuspidata"
"796",795,1,1,0,0,1,0,0,"Platythyrea.schultzei",NA
"797",796,1,1,0,0,1,0,0,"Platythyrea.tricuspidata",NA
"798",797,0.517,0.9936,0.069,0.1434,0.5986,0.2774,0.124,"Paraponera.clavata","Tatuidris.tatusia"
"799",798,0,1,1,1,0,1,0,"Paraponera.clavata",NA
"800",799,0,1,0,0,1,0,0,"Tatuidris.tatusia",NA
"801",800,0.515,0.9944,0.029,0.0748,0.5604,0.299,0.1406,"Prionopelta.amabilis","Apomyrma.stygia"
"802",801,0.14,0.9962,0.021,0.0466,0.4214,0.4528,0.1258,"Prionopelta.amabilis","Amblyopone.australis"
"803",802,0.109,0.9964,0.019,0.0428,0.422,0.4594,0.1186,"Prionopelta.amabilis","Onychomyrmex.hedleyi"
"804",803,0.077,0.9972,0.018,0.0412,0.4668,0.44,0.0932,"Prionopelta.amabilis","Prionopelta.opaca"
"805",804,0,1,0,0,0,1,0,"Prionopelta.amabilis",NA
"806",805,0,1,0,0,1,0,0,"Prionopelta.opaca",NA
"807",806,0,1,0.061,0,0,1,0,"Onychomyrmex.hedleyi",NA
"808",807,0,1,0,0,0,1,0,"Amblyopone.australis",NA
"809",808,0,1,0.021,0,1,0,0,"Apomyrma.stygia",NA
"810",809,0.233,0.995,0.019,0.051,0.6896,0.2354,0.075,"Probolomyrmex.boliviensis","Proceratium.pergandei"
"811",810,0.186,0.9956,0.018,0.0474,0.7178,0.2242,0.058,"Probolomyrmex.boliviensis","Discothyrea.sauteri"
"812",811,0.125,0.9948,0.017,0.0442,0.7994,0.1698,0.0308,"Probolomyrmex.boliviensis","Probolomyrmex.longinodus"
"813",812,0.093,0.9956,0.017,0.048,0.835,0.14,0.025,"Probolomyrmex.boliviensis","Probolomyrmex.dammermani"
"814",813,0,1,0,0,1,0,0,"Probolomyrmex.boliviensis",NA
"815",814,0,1,0,0,1,0,0,"Probolomyrmex.dammermani",NA
"816",815,0,1,0.008,0,1,0,0,"Probolomyrmex.longinodus",NA
"817",816,0.101,0.9954,0.025,0.051,0.6488,0.292,0.0592,"Discothyrea.kamiteta","Discothyrea.sauteri"
"818",817,0,1,0.07,0,1,0,0,"Discothyrea.kamiteta",NA
"819",818,0,1,0,0,0,1,0,"Discothyrea.sauteri",NA
"820",819,0.079,0.9976,0.019,0.0242,0.6952,0.2578,0.047,"Proceratium.goliath","Proceratium.pergandei"
"821",820,0.065,0.9976,0.019,0.0234,0.6436,0.3096,0.0468,"Proceratium.goliath","Proceratium.silaceum"
"822",821,0.054,0.9976,0.02,0.0242,0.4462,0.4952,0.0586,"Proceratium.goliath","Proceratium.itoi"
"823",822,0,1,0.061,0,0,1,0,"Proceratium.goliath",NA
"824",823,0,1,0.049,0,0,1,0,"Proceratium.itoi",NA
"825",824,0,1,0,0,1,0,0,"Proceratium.silaceum",NA
